以下题目按字典序排列。

agrinet   |                          Agri-Net
ariprog   |           Arithmetic Progressions
barn1     |                       Barn Repair
beads     |                   Broken Necklace
betsy     |                      Betsy's Tour
bigbrn    |                          Big Barn
butter    |                      Sweet Butter
buylow    |                Buy Low, Buy Lower
calfflac  |                         Calf Flac
camelot   |                           Camelot
castle    |                        The Castle
charrec   |             Character Recognition
checker   |                 Checker Challenge
clocks    |                        The Clocks
combo     |                  Combination Lock
comehome  |                  Bessie Come Home
concom    |             Controlling Companies
contact   |                           Contact
cowcycle  |                         Cowcycles
cowtour   |                         Cow Tours
cowxor    |                           Cow XOR
crypt1    |                 Prime Cryptarithm
cryptcow  |                    Cryptcowgraphy
ditch     |                  Drainage Ditches
dualpal   |                  Dual Palindromes
fact4     |                        Factorials
fc        |                  Fencing the Cows
fence     |                 Riding The Fences
fence3    |                   Electric Fences
fence4    |                     Closed Fences
fence6    |                       Fence Loops
fence8    |                       Fence Rails
fence9    |                    Electric Fence
frac1     |                 Ordered Fractions
fracdec   |             Fractions to Decimals
frameup   |                          Frame Up
friday    |             Friday the Thirteenth
game1     |                            A Game
gift1     |                Greedy Gift Givers
hamming   |                     Hamming Codes
heritage  |                 American Heritage
hidden    |                  Hidden Passwords
holstein  |                 Healthy Holsteins
humble    |                    Humble Numbers
inflate   |                   Score Inflation
job       |                    Job Processing
kimbits   |                      Stringsobits
lamps     |                       Party Lamps
latin     |                 All Latin Squares
lgame     |                       Letter Game
maze1     |                       Overfencing
milk      |                       Mixing Milk
milk2     |                      Milking Cows
milk3     |                     Mother's Milk
milk4     |                    Milk Measuring
milk6     |                 Pollutant Control
money     |                     Money Systems
msquare   |                     Magic Squares
namenum   |                  Name That Number
nocows    |                     Cow Pedigrees
nuggets   |                    Beef McNuggets
numtri    |                  Number Triangles
packrec   |                Packing Rectangles
palsquare |               Palindromic Squares
picture   |                           Picture
pprime    |                 Prime Palindromes
preface   |                 Preface Numbering
prefix    |                The Longest Prefix
prime3    |                        The Primes
race3     |                       Street Race
range     |                 Home on the Range
ratios    |                       Feed Ratios
rect1     |                   Shaping Regions
rectbarn  |                A Rectangular Barn
ride      |                 Your Ride Is Here
rockers   |                   Raucous Rockers
runround  |                 Runaround Numbers
schlnet   |                Network of Schools
shopping  |                   Shopping Offers
shuttle   |                    Shuttle Puzzle
skidesign |                 Ski Course Design
snail     |                       Snail Trail
sort3     |   Sorting A Three-Valued Sequence
spin      |                   Spinning Wheels
sprime    |                    SuperPrime Rib
stall4    |                 The Perfect Stall
stamps    |                            Stamps
starry    |                      Starry Night
subset    |                       Subset Sums
telecow   |                 TeleCowmunication
test      |                   Sum the Numbers
theme     |                    Musical Themes
tour      |                       Canada Tour
transform |                   Transformations
ttwo      |                  The Tamworth Two
twofive   |                          Two Five
vans      |                       Postal Vans
window    |                       Window Area
wissqu    |                 Wisconsin Squares
wormhole  |                         Wormholes
zerosum   |                          Zero Sum
